OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice,Discount,Status,Notes
ORD-2025-0292,C001,12/09/2025 13:43:00,P004,14,£2.40,,Despatched,
ORD-2025-0293,C001,20/09/2025 15:16:00,P021,19,£5.40,,Despatched,
ORD-2025-0294,C019,16/09/2025 10:33:00,P021,20,£5.40,0%,delivered,
ORD-2025-0295,C008,02/09/2025 17:44:00,P004,7,£2.40,0%,DELIVERED,
ORD-2025-0296,C005,14/09/2025 11:26:00,P017,20,£4.80,5%,DESPATCHED,
ORD-2025-0297,C002,23/09/2025 10:33:00,P007,18,£2.90,10%,Despatched,
ORD-2025-0298,C017,13/09/2025 13:11:00,P015,18,£3.50,10%,delivered,
ORD-2025-0299,C009,20/09/2025 15:12:00,P008,9,£2.75,,Delivered,
ORD-2025-0300,C010,25/09/2025 12:45:00,P007,16,£2.90,10%,DELIVERED,
ORD-2025-0301,C009,10/09/2025 09:36:00,P022,18,£4.90,15%,Cancelled,
ORD-2025-0302,C012,25/09/2025 10:18:00,P002,10,£2.50,5%,Delivered,
ORD-2025-0303,C015,21/09/2025 12:47:00,P016,7,£4.20,5%,Processing,
ORD-2025-0304,C018,23/09/2025 12:08:00,P004,20,£2.40,0%,Delivered,
ORD-2025-0305,C002,22/09/2025 16:14:00,P021,8,£5.40,0%,Processing,
ORD-2025-0306,C016,04/09/2025 10:00:00,P018,6,£6.50,15%,Cancelled,
ORD-2025-0307,C016,16/09/2025 11:48:00,P010,11,£2.60,10%,Delivered,
ORD-2025-0308,C003,21/09/2025 17:14:00,P018,2,£6.50,5%,Delivered,
ORD-2025-0309,C006,30/09/2025 08:53:00,P013,16,£3.10,5%,Despatched,
ORD-2025-0310,C010,29/09/2025 08:00:00,P010,19,£2.60,,Cancelled,
ORD-2025-0311,C011,10/09/2025 15:41:00,P018,17,£6.50,15%,Cancelled,
ORD-2025-0312,C017,15/09/2025 12:12:00,P026,4,£3.00,10%,Despatched,
ORD-2025-0313,C009,23/09/2025 10:00:00,P024,11,£18.50,0%,PROCESSING,
ORD-2025-0314,C007,06/09/2025 17:54:00,P021,13,£5.40,0%,Processing,
ORD-2025-0315,C003,13/09/2025 09:11:00,P005,16,£2.70,10%,Delivered,
ORD-2025-0316,C009,13/09/2025 11:28:00,P025,9,£3.60,5%,DELIVERED,
ORD-2025-0317,C019,01/09/2025 12:41:00,P012,8,£3.00,0%,Delivered,
ORD-2025-0318,C010,06/09/2025 14:43:00,P017,10,£4.80,0%,Despatched,
ORD-2025-0319,C010,12/09/2025 17:14:00,P008,5,£2.75,15%,Processing,
ORD-2025-0320,C020,12/09/2025 14:44:00,P018,16,£6.50,0%,Despatched,
ORD-2025-0321,C007,25/09/2025 11:43:00,P025,20,£3.60,0%,Delivered,
ORD-2025-0322,C015,17/09/2025 13:04:00,P030,19,£3.40,0%,Despatched,
ORD-2025-0323,C017,07/09/2025 17:34:00,P005,6,£2.70,10%,Processing,
ORD-2025-0324,C004,22/09/2025 11:45:00,P019,16,£3.20,0%,Processing,
ORD-2025-0325,C002,15/09/2025 10:32:00,P014,15,£3.40,,PROCESSING,
ORD-2025-0326,C010,24/09/2025 08:25:00,P009,1,£2.50,0%,PROCESSING,
ORD-2025-0294,C019,16/09/2025 10:33:00,P021,20,£5.40,0%,delivered,
ORD-2025-0327,C002,15/09/2025 10:30:00,P014,3,£3.40,5%,Delivered,"Please deliver before noon, thank you"
