OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice,Discount,Status,Notes
ORD-2025-0222,C012,10/07/2025 10:13:00,P011,16,£2.20,5%,Cancelled,
ORD-2025-0223,C005,03/07/2025 12:54:00,P026,4,£3.00,,Processing,
ORD-2025-0224,C017,02/07/2025 13:56:00,P025,20,£3.60,5%,delivered,
ORD-2025-0225,C006,06/07/2025 17:51:00,P029,6,£2.90,0%,Delivered,
ORD-2025-0226,C012,22/07/2025 11:28:00,P020,10,£5.10,0%,Despatched,
ORD-2025-0227,C008,18/07/2025 11:19:00,P026,16,£3.00,5%,Delivered,
ORD-2025-0228,C019,15/07/2025 15:49:00,P010,13,£2.60,,Processing,
ORD-2025-0229,C006,27/07/2025 11:51:00,P020,5,£5.10,0%,Delivered,
ORD-2025-0230,C016,28/07/2025 13:35:00,P030,4,£3.40,0%,Processing,
ORD-2025-0231,C004,10/07/2025 09:48:00,P006,9,£3.20,15%,Processing,
ORD-2025-0232,C014,03/07/2025 11:52:00,P015,12,£3.50,5%,Processing,
ORD-2025-0233,C013,17/07/2025 13:15:00,P013,3,£3.10,10%,Delivered,
ORD-2025-0234,C004,27/07/2025 13:50:00,P005,5,£2.70,0%,Cancelled,
ORD-2025-0235,C016,23/07/2025 10:48:00,P023,16,£3.30,15%,Delivered,
ORD-2025-0236,C003,01/07/2025 12:13:00,P027,5,£3.20,,Despatched,
ORD-2025-0237,C017,14/07/2025 09:49:00,P010,8,£2.60,10%,Delivered,
ORD-2025-0238,C014,21/07/2025 17:29:00,P003,4,£2.60,0%,Processing,
ORD-2025-0239,C018,01/07/2025 16:36:00,P008,5,£2.75,10%,Delivered,
ORD-2025-0240,C012,08/07/2025 17:26:00,P006,3,£3.20,,delivered,
ORD-2025-0241,C017,18/07/2025 16:50:00,P017,18,£4.80,0%,DESPATCHED,
ORD-2025-0242,C002,21/07/2025 14:23:00,P009,1,£2.50,10%,Delivered,
ORD-2025-0243,C008,24/07/2025 09:49:00,P019,11,£3.20,5%,delivered,
ORD-2025-0244,C011,27/07/2025 10:53:00,P025,15,£3.60,5%,Processing,
ORD-2025-0245,C006,26/07/2025 10:04:00,P023,15,£3.30,0%,Delivered,
ORD-2025-0246,C007,29/07/2025 08:20:00,P030,10,£3.40,,Cancelled,
ORD-2025-0247,C018,16/07/2025 12:02:00,P025,7,£3.60,10%,DESPATCHED,
ORD-2025-0248,C002,28/07/2025 13:17:00,P004,12,£2.40,15%,Processing,
ORD-2025-0249,C015,29/07/2025 14:21:00,P006,16,£3.20,0%,delivered,
ORD-2025-0224,C017,02/07/2025 13:56:00,P025,20,£3.60,5%,delivered,
ORD-2025-0250,C017,15/07/2025 10:30:00,P009,3,£2.50,5%,Delivered,"Please deliver before noon, thank you"
