OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice,Discount,Status,Notes
ORD-2025-0362,C012,09/11/2025 14:05:00,P012,13,£3.00,15%,Delivered,
ORD-2025-0363,C008,10/11/2025 09:41:00,P028,2,£2.60,0%,delivered,
ORD-2025-0364,C018,16/11/2025 08:40:00,P001,6,£2.80,0%,Despatched,
ORD-2025-0365,C011,19/11/2025 09:57:00,P017,2,£4.80,5%,Cancelled,
ORD-2025-0366,C019,16/11/2025 12:02:00,P030,3,£3.40,0%,Delivered,
ORD-2025-0367,C018,19/11/2025 08:11:00,P030,11,£3.40,0%,Delivered,
ORD-2025-0368,C005,25/11/2025 14:59:00,P003,10,£2.60,5%,Delivered,
ORD-2025-0369,C013,22/11/2025 16:21:00,P013,5,£3.10,0%,Despatched,
ORD-2025-0370,C003,17/11/2025 13:03:00,P004,14,£2.40,5%,Delivered,
ORD-2025-0371,C020,25/11/2025 17:38:00,P013,11,£3.10,0%,Delivered,
ORD-2025-0372,C015,16/11/2025 11:22:00,P018,13,£6.50,15%,Despatched,
ORD-2025-0373,C013,03/11/2025 17:18:00,P026,8,£3.00,0%,Delivered,
ORD-2025-0374,C005,13/11/2025 10:47:00,P013,11,£3.10,10%,Delivered,
ORD-2025-0375,C010,15/11/2025 13:48:00,P009,4,£2.50,5%,Delivered,
ORD-2025-0376,C015,18/11/2025 16:32:00,P014,4,£3.40,0%,delivered,
ORD-2025-0377,C003,20/11/2025 17:50:00,P011,13,£2.20,0%,Processing,
ORD-2025-0378,C003,24/11/2025 16:57:00,P008,19,£2.75,,Despatched,
ORD-2025-0379,C006,05/11/2025 12:19:00,P009,16,£2.50,5%,Delivered,
ORD-2025-0380,C009,14/11/2025 12:30:00,P026,3,£3.00,10%,Cancelled,
ORD-2025-0381,C016,20/11/2025 17:12:00,P015,4,£3.50,5%,Delivered,
ORD-2025-0382,C013,11/11/2025 17:24:00,P026,11,£3.00,15%,Processing,
ORD-2025-0383,C020,05/11/2025 12:20:00,P020,7,£5.10,15%,Delivered,
ORD-2025-0384,C013,11/11/2025 12:47:00,P023,16,£3.30,5%,Despatched,
ORD-2025-0385,C011,13/11/2025 12:52:00,P026,13,£3.00,10%,Cancelled,
ORD-2025-0386,C007,19/11/2025 16:11:00,P022,18,£4.90,0%,Despatched,
ORD-2025-0387,C007,15/11/2025 12:53:00,P023,3,£3.30,0%,Despatched,
ORD-2025-0388,C014,22/11/2025 15:08:00,P021,10,£5.40,5%,Despatched,
ORD-2025-0389,C014,26/11/2025 14:04:00,P015,20,£3.50,15%,Processing,
ORD-2025-0390,C017,30/11/2025 14:34:00,P002,12,£2.50,0%,Despatched,
ORD-2025-0391,C020,21/11/2025 09:06:00,P025,8,£3.60,0%,delivered,
ORD-2025-0392,C020,02/11/2025 17:41:00,P022,13,£4.90,5%,DELIVERED,
ORD-2025-0393,C014,04/11/2025 08:06:00,P009,8,£2.50,,Processing,
ORD-2025-0364,C018,16/11/2025 08:40:00,P001,6,£2.80,0%,Despatched,
ORD-2025-0394,C019,15/11/2025 10:30:00,P023,3,£3.30,5%,Delivered,"Please deliver before noon, thank you"
