OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice,Discount,Status,Notes
ORD-2025-0328,C003,18/10/2025 08:59:00,P029,3,£2.90,5%,Processing,
ORD-2025-0329,C010,14/10/2025 10:49:00,P005,14,£2.70,10%,DESPATCHED,
ORD-2025-0330,C015,28/10/2025 14:24:00,P003,18,£2.60,5%,DESPATCHED,
ORD-2025-0331,C004,06/10/2025 16:25:00,P017,5,£4.80,0%,Delivered,
ORD-2025-0332,C001,25/10/2025 08:19:00,P015,18,£3.50,15%,delivered,
ORD-2025-0333,C008,08/10/2025 15:22:00,P005,9,£2.70,5%,DESPATCHED,
ORD-2025-0334,C004,02/10/2025 14:39:00,P025,1,£3.60,5%,Delivered,
ORD-2025-0335,C020,02/10/2025 15:38:00,P022,2,£4.90,5%,Delivered,
ORD-2025-0336,C015,08/10/2025 16:13:00,P025,2,£3.60,5%,Cancelled,
ORD-2025-0337,C008,27/10/2025 17:20:00,P019,20,£3.20,0%,Despatched,
ORD-2025-0338,C008,10/10/2025 10:42:00,P017,8,£4.80,15%,Delivered,
ORD-2025-0339,C018,31/10/2025 17:56:00,P024,6,£18.50,0%,Processing,
ORD-2025-0340,C016,02/10/2025 13:41:00,P022,13,£4.90,0%,DELIVERED,
ORD-2025-0341,C014,14/10/2025 10:19:00,P013,6,£3.10,0%,Processing,
ORD-2025-0342,C008,10/10/2025 10:51:00,P015,2,£3.50,,Cancelled,
ORD-2025-0343,C018,17/10/2025 10:24:00,P008,9,£2.75,5%,Despatched,
ORD-2025-0344,C015,28/10/2025 13:05:00,P018,7,£6.50,0%,delivered,
ORD-2025-0345,C020,20/10/2025 08:55:00,P003,7,£2.60,0%,PROCESSING,
ORD-2025-0346,C018,07/10/2025 15:13:00,P028,11,£2.60,10%,Cancelled,
ORD-2025-0347,C007,30/10/2025 11:47:00,P004,16,£2.40,5%,Despatched,
ORD-2025-0348,C007,13/10/2025 11:35:00,P011,10,£2.20,15%,Processing,
ORD-2025-0349,C012,10/10/2025 12:23:00,P017,16,£4.80,15%,Despatched,
ORD-2025-0350,C016,25/10/2025 13:58:00,P007,12,£2.90,10%,Delivered,
ORD-2025-0351,C008,24/10/2025 10:01:00,P009,18,£2.50,5%,PROCESSING,
ORD-2025-0352,C014,10/10/2025 10:12:00,P011,8,£2.20,15%,Despatched,
ORD-2025-0353,C016,18/10/2025 13:16:00,P025,16,£3.60,5%,Despatched,
ORD-2025-0354,C016,15/10/2025 10:46:00,P026,12,£3.00,5%,Despatched,
ORD-2025-0355,C016,06/10/2025 16:41:00,P002,17,£2.50,0%,Despatched,
ORD-2025-0356,C002,25/10/2025 08:26:00,P005,8,£2.70,0%,Delivered,
ORD-2025-0357,C007,17/10/2025 15:23:00,P002,20,£2.50,0%,Cancelled,
ORD-2025-0358,C016,22/10/2025 15:01:00,P001,18,£2.80,,Delivered,
ORD-2025-0359,C017,24/10/2025 12:34:00,P010,1,£2.60,,Despatched,
ORD-2025-0360,C014,26/10/2025 10:06:00,P030,4,£3.40,,Delivered,
ORD-2025-0330,C015,28/10/2025 14:24:00,P003,18,£2.60,5%,DESPATCHED,
ORD-2025-0361,C020,15/10/2025 10:30:00,P017,3,£4.80,5%,Delivered,"Please deliver before noon, thank you"
