OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice,Discount,Status,Notes
ORD-2025-0040,C017,28/02/2025 16:10:00,P002,17,£2.50,0%,Delivered,
ORD-2025-0041,C020,03/02/2025 11:25:00,P004,19,£2.40,5%,PROCESSING,
ORD-2025-0042,C020,03/02/2025 14:42:00,P019,19,£3.20,,Cancelled,
ORD-2025-0043,C007,22/02/2025 13:15:00,P009,13,£2.50,5%,Despatched,
ORD-2025-0044,C015,11/02/2025 09:00:00,P015,20,£3.50,5%,Cancelled,
ORD-2025-0045,C003,18/02/2025 11:32:00,P009,5,£2.50,5%,DESPATCHED,
ORD-2025-0046,C008,12/02/2025 12:10:00,P015,18,£3.50,0%,Despatched,
ORD-2025-0047,C017,01/02/2025 16:19:00,P030,4,£3.40,5%,Delivered,
ORD-2025-0048,C004,04/02/2025 16:09:00,P009,10,£2.50,,Despatched,
ORD-2025-0049,C007,22/02/2025 12:32:00,P016,9,£4.20,5%,Despatched,
ORD-2025-0050,C003,21/02/2025 14:53:00,P009,2,£2.50,0%,Despatched,
ORD-2025-0051,C009,06/02/2025 15:35:00,P023,14,£3.30,,Delivered,
ORD-2025-0052,C005,18/02/2025 08:53:00,P012,19,£3.00,,Processing,
ORD-2025-0053,C002,10/02/2025 13:57:00,P030,2,£3.40,5%,Delivered,
ORD-2025-0054,C008,22/02/2025 09:22:00,P025,18,£3.60,5%,Processing,
ORD-2025-0055,C020,24/02/2025 10:59:00,P030,8,£3.40,0%,Cancelled,
ORD-2025-0056,C006,14/02/2025 08:11:00,P024,11,£18.50,0%,Processing,
ORD-2025-0057,C008,09/02/2025 10:50:00,P023,4,£3.30,15%,Delivered,
ORD-2025-0058,C016,08/02/2025 11:52:00,P030,15,£3.40,10%,Despatched,
ORD-2025-0059,C008,08/02/2025 08:42:00,P007,13,£2.90,10%,DESPATCHED,
ORD-2025-0060,C009,12/02/2025 16:25:00,P022,18,£4.90,10%,Delivered,
ORD-2025-0061,C009,06/02/2025 17:16:00,P002,4,£2.50,,DELIVERED,
ORD-2025-0062,C011,14/02/2025 17:32:00,P004,13,£2.40,5%,Delivered,
ORD-2025-0063,C002,23/02/2025 14:00:00,P017,18,£4.80,0%,Cancelled,
ORD-2025-0064,C007,12/02/2025 14:04:00,P022,11,£4.90,,Despatched,
ORD-2025-0065,C004,24/02/2025 12:32:00,P010,14,£2.60,10%,Despatched,
ORD-2025-0066,C018,05/02/2025 11:26:00,P022,13,£4.90,0%,Cancelled,
ORD-2025-0067,C020,19/02/2025 12:25:00,P018,1,£6.50,10%,Delivered,
ORD-2025-0068,C019,20/02/2025 13:29:00,P015,15,£3.50,0%,Processing,
ORD-2025-0069,C006,22/02/2025 09:18:00,P017,20,£4.80,10%,Despatched,
ORD-2025-0070,C008,22/02/2025 12:14:00,P026,7,£3.00,5%,Delivered,
ORD-2025-0071,C016,20/02/2025 09:29:00,P014,19,£3.40,5%,Despatched,
ORD-2025-0072,C016,13/02/2025 11:09:00,P021,1,£5.40,5%,DESPATCHED,
ORD-2025-0073,C004,25/02/2025 14:14:00,P006,17,£3.20,15%,PROCESSING,
ORD-2025-0074,C004,15/02/2025 10:51:00,P015,17,£3.50,5%,PROCESSING,
ORD-2025-0042,C020,03/02/2025 14:42:00,P019,19,£3.20,,Cancelled,
ORD-2025-0075,C015,15/02/2025 10:30:00,P020,3,£5.10,5%,Delivered,"Please deliver before noon, thank you"
